Sr. No.,Book Title,Book Price,Book Availability
1,A Light in the Attic,£51.77,True
2,Tipping the Velvet,£53.74,True
3,Soumission,£50.10,True
4,Sharp Objects,£47.82,True
5,Sapiens: A Brief History of Humankind,£54.23,True
6,The Requiem Red,£22.65,True
7,The Dirty Little Secrets of Getting Your Dream Job,£33.34,True
8,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",£17.93,True
9,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,£22.60,True
10,The Black Maria,£52.15,True
11,"Starving Hearts (Triangular Trade Trilogy, #1)",£13.99,True
12,Shakespeare's Sonnets,£20.66,True
13,Set Me Free,£17.46,True
14,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),£52.29,True
15,Rip it Up and Start Again,£35.02,True
16,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",£57.25,True
17,Olio,£23.88,True
18,Mesaerion: The Best Science Fiction Stories 1800-1849,£37.59,True
19,Libertarianism for Beginners,£51.33,True
20,It's Only the Himalayas,£45.17,True
